passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,total_amount
Karen Valdez,2017-05-10 19:17:52,2017-05-10 19:21:05,Cash,5,0.5,4.0,0.87,0.0,Karen,0 days 00:03:13,4.87
Daniel Gonzalez,2017-05-21 00:10:11,2017-05-21 00:21:49,Cash,1,1.4,9.0,0.0,0.0,Daniel,0 days 00:11:38,9.0
Jesse Buchanan,2017-07-29 22:59:30,2017-07-29 23:24:11,Cash,1,3.9,18.5,1.2,0.0,Jesse,0 days 00:24:41,19.7
Cheryl Mendoza,2017-05-06 08:04:20,2017-05-06 08:13:55,Cash,1,3.25,11.5,0.0,0.0,Cheryl,0 days 00:09:35,11.5
Julia Davis,2017-05-17 10:25:37,2017-05-17 10:30:08,Cash,1,0.99,5.5,0.0,0.0,Julia,0 days 00:04:31,5.5
Michelle Avery,2017-02-05 13:03:09,2017-02-05 13:13:01,Cash,1,2.6,10.5,2.25,0.0,Michelle,0 days 00:09:52,12.75
Juan Gordon,2017-10-24 10:01:38,2017-10-24 10:11:52,Cash,1,1.29,8.5,2.32,0.0,Juan,0 days 00:10:14,10.82
Michael Malone,2017-07-03 02:00:20,2017-07-03 02:10:36,Card,1,1.83,9.0,2.06,0.0,Michael,0 days 00:10:16,11.06
Cynthia Wolfe,2017-04-15 22:04:38,2017-04-15 22:13:04,Card,2,1.35,7.5,0.0,0.0,Cynthia,0 days 00:08:26,7.5
Daniel Cox,2017-10-14 23:06:52,2017-10-14 23:12:43,Card,1,0.7,5.5,0.0,0.0,Daniel,0 days 00:05:51,5.5
Wendy Davis,2017-12-03 00:10:27,2017-12-03 00:44:47,Card,1,5.05,24.5,3.0,0.0,Wendy,0 days 00:34:20,27.5
Jonathan Dunn,2017-05-04 14:29:02,2017-05-04 14:51:28,Cash,1,3.3,16.0,3.35,0.0,Jonathan,0 days 00:22:26,19.35
Timothy Sherman,2017-07-10 20:14:38,2017-07-10 20:28:08,Card,4,1.6,9.0,0.0,0.0,Timothy,0 days 00:13:30,9.0
Danielle Santana,2017-04-15 12:16:57,2017-04-15 12:28:05,Cash,1,1.94,10.0,0.0,0.0,Danielle,0 days 00:11:08,10.0
Rachel Solomon,2017-10-16 08:19:23,2017-10-16 08:30:04,Card,1,1.3,8.5,0.0,0.0,Rachel,0 days 00:10:41,8.5
Christopher Jones,2017-07-24 07:59:47,2017-07-24 08:08:06,Cash,1,1.5,8.0,1.75,0.0,Christopher,0 days 00:08:19,9.75
Heidi Patel,2017-03-16 19:58:15,2017-03-16 20:42:23,Cash,2,9.05,36.5,8.77,5.54,Heidi,0 days 00:44:08,50.809999999999995
Tammy Griffin,2017-09-23 20:21:54,2017-09-23 20:28:26,Card,1,0.88,6.0,1.46,0.0,Tammy,0 days 00:06:32,7.46
Victor Hernandez,2017-10-03 16:33:08,2017-10-03 16:38:09,Card,1,0.8,5.5,0.0,0.0,Victor,0 days 00:05:01,5.5
Joe Brown,2017-08-29 11:41:21,2017-08-29 11:52:30,Card,1,1.2,8.5,0.0,0.0,Joe,0 days 00:11:09,8.5
John Browning,2017-11-10 00:13:08,2017-11-10 00:26:51,Card,1,1.7,10.0,2.25,0.0,John,0 days 00:13:43,12.25
Christopher Thomas,2017-05-27 19:38:05,2017-05-27 19:47:45,Cash,1,2.2,9.5,0.0,0.0,Christopher,0 days 00:09:40,9.5
Andrew Durham,2017-09-19 09:39:47,2017-09-19 09:55:35,Cash,1,2.01,11.5,3.0,0.0,Andrew,0 days 00:15:48,14.5
John Flores,2017-03-10 14:33:35,2017-03-10 15:50:40,Card,1,19.1,52.0,0.0,5.54,John,0 days 01:17:05,57.54
Stacey Barrett,2017-11-24 12:39:07,2017-11-24 12:48:55,Cash,1,1.3,8.0,0.0,0.0,Stacey,0 days 00:09:48,8.0
David Pierce,2017-12-16 11:48:50,2017-12-16 11:53:04,Cash,2,0.75,5.0,0.0,0.0,David,0 days 00:04:14,5.0
Erin Carlson,2017-07-12 06:22:09,2017-07-12 06:27:31,Card,3,1.69,7.0,0.0,0.0,Erin,0 days 00:05:22,7.0
Tyler Hansen,2017-09-11 21:50:36,2017-09-11 22:10:30,Cash,2,3.2,15.5,3.35,0.0,Tyler,0 days 00:19:54,18.85
Amber Hess,2017-12-05 23:37:16,2017-12-05 23:40:40,Cash,1,0.47,4.0,0.0,0.0,Amber,0 days 00:03:24,4.0
Christine Lucas,2017-09-09 07:48:08,2017-09-09 07:50:42,Card,1,0.7,4.5,1.3,0.0,Christine,0 days 00:02:34,5.8
Katie Moore,2017-01-31 17:11:22,2017-01-31 17:29:13,Card,1,3.1,13.5,3.0,0.0,Katie,0 days 00:17:51,16.5
Savannah Allen,2017-02-18 16:44:41,2017-02-18 16:55:44,Cash,1,1.1,8.0,1.0,0.0,Savannah,0 days 00:11:03,9.0
Shawn Hughes,2017-03-25 11:27:59,2017-03-25 11:36:36,Card,2,1.1,7.5,0.0,0.0,Shawn,0 days 00:08:37,7.5
Erika Cardenas,2017-01-04 18:13:10,2017-01-04 18:18:31,Card,1,0.9,5.5,1.0,0.0,Erika,0 days 00:05:21,6.5
Jason Reyes,2017-02-13 22:07:53,2017-02-13 22:22:14,Cash,1,2.68,12.0,2.66,0.0,Jason,0 days 00:14:21,14.66
Ashley Schmidt,2017-01-31 14:08:06,2017-01-31 14:13:37,Card,1,1.13,6.0,0.0,0.0,Ashley,0 days 00:05:31,6.0
Brian Brown,2017-01-26 05:56:03,2017-01-26 05:58:57,Card,3,0.99,5.0,0.0,0.0,Brian,0 days 00:02:54,5.0
Andrew Weiss,2017-05-02 11:17:35,2017-05-02 11:49:52,Cash,1,3.2,21.0,4.35,0.0,Andrew,0 days 00:32:17,25.35
Lauren Zhang,2017-11-11 19:33:59,2017-11-11 19:53:06,Cash,1,2.17,13.0,3.45,0.0,Lauren,0 days 00:19:07,16.45
Patricia Owens,2017-12-27 15:01:16,2017-12-27 15:05:37,Card,1,0.4,4.5,0.0,0.0,Patricia,0 days 00:04:21,4.5
Natalie Jenkins,2017-05-26 22:17:25,2017-05-26 22:25:50,Card,2,1.09,7.0,0.0,0.0,Natalie,0 days 00:08:25,7.0
Jeffrey Clark,2017-08-10 09:02:13,2017-08-10 09:19:06,Card,1,2.94,14.0,0.0,0.0,Jeffrey,0 days 00:16:53,14.0
Shirley Howell,2017-09-27 21:14:43,2017-09-27 21:21:04,Card,1,1.27,6.5,1.56,0.0,Shirley,0 days 00:06:21,8.06
Luis Smith,2017-08-22 20:14:33,2017-08-22 20:30:05,Cash,2,2.7,12.5,0.0,0.0,Luis,0 days 00:15:32,12.5
Jeremy Alvarado,2017-03-11 17:06:50,2017-03-11 17:08:17,Cash,1,0.17,3.0,0.0,0.0,Jeremy,0 days 00:01:27,3.0
Jennifer Case,2017-04-01 14:46:21,2017-04-01 15:10:43,Card,2,3.52,16.0,0.0,0.0,Jennifer,0 days 00:24:22,16.0
Jonathan Murphy,2017-09-29 21:24:47,2017-09-29 22:11:55,Card,1,18.38,52.0,12.26,8.5,Jonathan,0 days 00:47:08,72.76
Ryan Melendez,2017-04-05 14:50:23,2017-04-05 14:57:44,Cash,1,0.67,6.5,1.46,0.0,Ryan,0 days 00:07:21,7.96
Brandon Dodson,2017-09-21 20:59:40,2017-09-21 21:03:51,Cash,4,0.8,5.0,0.0,0.0,Brandon,0 days 00:04:11,5.0
Mrs. Vicki Williams DDS,2017-07-14 16:07:52,2017-07-14 16:25:09,Cash,1,1.4,11.5,1.5,0.0,Mrs.,0 days 00:17:17,13.0
Jenna Gomez,2017-10-05 02:07:29,2017-10-05 02:15:51,Cash,1,2.14,8.5,0.0,0.0,Jenna,0 days 00:08:22,8.5
Michael Fernandez,2017-10-22 01:40:07,2017-10-22 02:02:54,Cash,5,3.04,16.0,4.32,0.0,Michael,0 days 00:22:47,20.32
Megan Kelly,2017-04-29 22:43:01,2017-04-29 23:19:41,Card,1,4.72,24.0,0.0,0.0,Megan,0 days 00:36:40,24.0
Beverly Lewis,2017-11-06 22:36:30,2017-11-06 22:39:20,Cash,1,0.53,4.0,1.32,0.0,Beverly,0 days 00:02:50,5.32
Michael Grimes,2017-11-01 01:33:25,2017-11-01 02:01:09,Cash,1,7.77,26.0,5.46,0.0,Michael,0 days 00:27:44,31.46
Carol Nguyen,2017-03-05 20:15:12,2017-03-05 20:21:41,Cash,1,0.9,6.0,1.45,0.0,Carol,0 days 00:06:29,7.45
Samantha Underwood,2017-09-24 20:12:41,2017-09-24 20:19:11,Cash,1,1.6,7.0,1.65,0.0,Samantha,0 days 00:06:30,8.65
Cynthia Crosby,2017-12-01 15:39:27,2017-12-01 15:52:11,Card,1,1.73,9.5,2.06,0.0,Cynthia,0 days 00:12:44,11.56
Lisa Smith,2017-09-18 12:56:10,2017-09-18 13:03:13,Cash,6,0.84,6.5,0.0,0.0,Lisa,0 days 00:07:03,6.5
Andrea Perez,2017-02-21 21:08:45,2017-02-21 21:17:02,Card,3,1.57,8.0,1.4,0.0,Andrea,0 days 00:08:17,9.4
Michael Reynolds,2017-02-17 08:31:13,2017-02-17 08:46:35,Card,1,1.78,11.0,1.5,0.0,Michael,0 days 00:15:22,12.5
Christopher Burke,2017-10-13 09:56:14,2017-10-13 10:03:19,Card,1,1.41,7.0,1.95,0.0,Christopher,0 days 00:07:05,8.95
Kimberly Jimenez,2017-08-28 21:48:03,2017-08-28 21:50:02,Cash,1,0.52,4.0,1.06,0.0,Kimberly,0 days 00:01:59,5.0600000000000005
Misty Colon,2017-02-01 12:55:03,2017-02-01 12:57:38,Card,1,0.3,3.5,1.0,0.0,Misty,0 days 00:02:35,4.5
Robert Franklin,2017-03-09 12:52:34,2017-03-09 13:26:49,Card,1,10.8,35.0,14.0,0.0,Robert,0 days 00:34:15,49.0
Kristen Hardy,2017-02-05 17:43:06,2017-02-05 17:55:46,Card,1,2.2,11.0,2.35,0.0,Kristen,0 days 00:12:40,13.35
Karen Peterson,2017-04-29 22:42:48,2017-04-29 22:56:01,Cash,1,5.0,16.5,3.55,0.0,Karen,0 days 00:13:13,20.05
Kevin Brown,2017-05-09 19:14:26,2017-05-09 19:31:18,Cash,1,3.6,14.0,3.15,0.0,Kevin,0 days 00:16:52,17.15
Jeremy Griffin,2017-01-01 02:15:23,2017-01-01 02:22:51,Card,6,0.75,6.5,1.56,0.0,Jeremy,0 days 00:07:28,8.06
Melissa Salinas,2017-07-07 05:59:26,2017-07-07 06:05:50,Card,1,1.8,7.5,1.5,0.0,Melissa,0 days 00:06:24,9.0
Elizabeth Mcmillan,2017-11-15 00:47:31,2017-11-15 01:04:53,Cash,1,2.73,13.5,2.96,0.0,Elizabeth,0 days 00:17:22,16.46
Laurie Baxter,2017-08-21 21:21:34,2017-08-21 21:48:20,Cash,1,9.17,28.5,0.0,0.0,Laurie,0 days 00:26:46,28.5
Katie Whitaker,2017-08-18 07:21:22,2017-08-18 07:24:50,Cash,1,0.55,4.5,1.06,0.0,Katie,0 days 00:03:28,5.5600000000000005
Bruce Watkins,2017-02-20 02:29:55,2017-02-20 02:57:35,Cash,1,7.1,24.5,0.0,0.0,Bruce,0 days 00:27:40,24.5
Tara Robinson,2017-06-08 22:54:25,2017-06-08 22:57:21,Cash,1,0.59,4.0,1.59,0.0,Tara,0 days 00:02:56,5.59
Brandon Johnson,2017-03-03 20:44:52,2017-03-03 20:51:06,Card,2,1.35,7.0,0.7,0.0,Brandon,0 days 00:06:14,7.7
Rachel Simpson,2017-07-08 23:06:38,2017-07-08 23:17:38,Cash,1,1.6,9.0,0.0,0.0,Rachel,0 days 00:11:00,9.0
Karen Byrd,2017-05-04 21:14:09,2017-05-04 21:24:10,Cash,2,1.26,8.0,0.0,0.0,Karen,0 days 00:10:01,8.0
Emily Martin,2017-05-30 11:25:41,2017-05-30 11:38:40,Card,1,1.95,10.5,2.26,0.0,Emily,0 days 00:12:59,12.76
Samantha Wright,2017-01-01 19:12:33,2017-01-01 19:16:56,Cash,1,0.95,5.5,1.26,0.0,Samantha,0 days 00:04:23,6.76
Michael Sloan,2017-04-10 07:35:29,2017-04-10 07:41:45,Card,1,1.0,6.5,0.0,0.0,Michael,0 days 00:06:16,6.5
Erika Hansen,2017-02-14 07:17:06,2017-02-14 07:20:51,Card,6,0.64,4.5,0.0,0.0,Erika,0 days 00:03:45,4.5
Francisco Miller Jr.,2017-05-23 11:50:23,2017-05-23 12:33:21,Card,5,19.18,52.0,11.71,5.76,Francisco,0 days 00:42:58,69.47
Ryan Rowe,2017-03-15 13:26:40,2017-03-15 13:30:46,Cash,3,0.37,4.5,0.0,0.0,Ryan,0 days 00:04:06,4.5
John Barker,2017-02-15 23:31:55,2017-02-15 23:41:35,Cash,2,2.54,10.0,2.26,0.0,John,0 days 00:09:40,12.26
David Flores,2017-05-17 08:54:52,2017-05-17 09:04:06,Cash,1,1.3,8.0,0.0,0.0,David,0 days 00:09:14,8.0
Joanne Jenkins,2017-02-28 09:36:26,2017-02-28 09:38:48,Cash,1,0.4,3.5,0.0,0.0,Joanne,0 days 00:02:22,3.5
Tamara Chen,2017-05-12 22:18:09,2017-05-12 22:27:35,Cash,1,0.7,7.5,1.75,0.0,Tamara,0 days 00:09:26,9.25
Savannah Lewis,2017-10-25 08:03:58,2017-10-25 08:07:38,Card,1,0.54,4.5,1.06,0.0,Savannah,0 days 00:03:40,5.5600000000000005
Matthew Hernandez,2017-11-09 20:29:44,2017-11-09 20:36:07,Card,1,1.1,6.5,1.5,0.0,Matthew,0 days 00:06:23,8.0
Nancy Little,2017-09-19 19:35:46,2017-09-19 19:47:06,Cash,5,1.45,9.0,2.16,0.0,Nancy,0 days 00:11:20,11.16
Amber Carrillo,2017-06-15 10:24:58,2017-06-15 10:29:14,Card,1,0.76,5.0,0.0,0.0,Amber,0 days 00:04:16,5.0
Jennifer Hernandez,2017-07-07 13:39:50,2017-07-07 13:50:24,Cash,1,1.09,8.0,0.0,0.0,Jennifer,0 days 00:10:34,8.0
Veronica Joseph,2017-12-09 22:13:46,2017-12-09 22:20:11,Cash,1,1.04,6.0,1.82,0.0,Veronica,0 days 00:06:25,7.82
Amy Taylor,2017-08-16 09:42:27,2017-08-16 09:52:25,Cash,1,1.1,8.0,1.75,0.0,Amy,0 days 00:09:58,9.75
Leslie Lloyd,2017-04-12 10:28:04,2017-04-12 10:40:47,Card,3,1.25,9.5,1.0,0.0,Leslie,0 days 00:12:43,10.5
Seth Miller,2017-09-23 18:28:56,2017-09-23 18:38:34,Cash,2,1.33,8.0,1.58,0.0,Seth,0 days 00:09:38,9.58
Jasmine Byrd,2017-08-15 20:24:38,2017-08-15 20:44:08,Cash,2,9.11,26.5,8.34,0.0,Jasmine,0 days 00:19:30,34.84
Nathan Buckley,2017-11-29 22:20:05,2017-11-29 22:28:40,Cash,2,1.31,7.5,2.64,0.0,Nathan,0 days 00:08:35,10.14
Jennifer Larson,2017-05-08 07:44:48,2017-05-08 07:57:44,Card,2,1.52,10.0,2.16,0.0,Jennifer,0 days 00:12:56,12.16
Karen Navarro,2017-04-23 09:33:06,2017-04-23 09:36:34,Cash,1,0.9,5.0,0.0,0.0,Karen,0 days 00:03:28,5.0
Pamela Johnson,2017-04-12 13:57:46,2017-04-12 14:04:16,Cash,3,0.45,5.5,0.0,0.0,Pamela,0 days 00:06:30,5.5
Alicia Adkins,2017-02-21 16:12:26,2017-02-21 16:18:19,Cash,1,0.62,5.5,0.0,0.0,Alicia,0 days 00:05:53,5.5
Jacqueline Hernandez,2017-02-11 23:05:50,2017-02-11 23:18:11,Card,1,2.02,10.0,3.39,0.0,Jacqueline,0 days 00:12:21,13.39
Timothy Perkins,2017-09-27 20:44:30,2017-09-27 21:03:42,Cash,1,2.4,13.0,2.0,0.0,Timothy,0 days 00:19:12,15.0
Charles Johnson,2017-11-06 14:50:42,2017-11-06 15:23:09,Cash,1,3.0,20.5,6.35,0.0,Charles,0 days 00:32:27,26.85
Mason Smith,2017-10-28 03:50:43,2017-10-28 04:06:46,Cash,1,3.3,13.5,2.95,0.0,Mason,0 days 00:16:03,16.45
Wendy Meyer,2017-10-27 18:16:40,2017-10-27 18:26:05,Cash,1,0.99,7.5,0.0,0.0,Wendy,0 days 00:09:25,7.5
Stephanie Jackson,2017-07-24 19:04:42,2017-07-24 19:48:23,Card,1,20.6,52.0,9.0,5.76,Stephanie,0 days 00:43:41,66.76
George Matthews,2017-10-18 14:07:00,2017-10-18 14:12:34,Card,1,0.6,5.0,0.0,0.0,George,0 days 00:05:34,5.0
Jonathan Flynn,2017-01-29 16:11:49,2017-01-29 16:28:32,Card,1,2.73,13.0,0.0,0.0,Jonathan,0 days 00:16:43,13.0
Tiffany Munoz,2017-03-02 19:16:28,2017-03-02 19:25:50,Cash,2,1.17,7.5,1.5,0.0,Tiffany,0 days 00:09:22,9.0
Maria Cameron,2017-10-15 13:59:28,2017-10-15 14:05:53,Cash,3,1.0,6.0,0.0,0.0,Maria,0 days 00:06:25,6.0
Charles Long,2017-08-09 18:47:29,2017-08-09 19:25:30,Card,2,9.49,32.5,0.0,0.0,Charles,0 days 00:38:01,32.5
Rachel Phillips,2017-03-13 14:47:17,2017-03-13 15:05:05,Cash,2,1.7,11.5,0.0,0.0,Rachel,0 days 00:17:48,11.5
Michelle Sanders,2017-04-25 18:12:10,2017-04-25 18:20:56,Cash,1,1.2,7.5,1.85,0.0,Michelle,0 days 00:08:46,9.35
Lauren Pierce,2017-01-21 00:34:58,2017-01-21 00:54:04,Cash,2,3.6,15.5,3.0,0.0,Lauren,0 days 00:19:06,18.5
Hannah Fry,2017-08-13 15:36:57,2017-08-13 15:51:55,Cash,1,2.8,12.5,3.3,0.0,Hannah,0 days 00:14:58,15.8
William Espinoza,2017-04-29 08:50:03,2017-04-29 08:53:43,Cash,5,1.13,5.5,1.26,0.0,William,0 days 00:03:40,6.76
Robert Huerta,2017-12-01 21:19:34,2017-12-01 21:40:41,Card,1,2.33,14.0,3.06,0.0,Robert,0 days 00:21:07,17.06
Shawn Keith,2017-03-08 17:54:36,2017-03-08 18:02:24,Cash,2,1.4,7.5,1.86,0.0,Shawn,0 days 00:07:48,9.36
Mr. Terry Stout DDS,2017-02-11 23:57:03,2017-02-12 00:06:45,Cash,5,2.25,9.5,0.0,0.0,Mr.,0 days 00:09:42,9.5
Christopher Jones,2017-12-07 19:48:18,2017-12-07 20:15:48,Cash,1,2.82,17.0,0.0,0.0,Christopher,0 days 00:27:30,17.0
Ryan Spencer,2017-09-18 18:04:21,2017-09-18 18:33:07,Card,1,16.0,44.0,0.0,0.0,Ryan,0 days 00:28:46,44.0
Sherry Tapia,2017-12-28 09:57:55,2017-12-28 10:10:09,Card,1,1.76,10.0,2.16,0.0,Sherry,0 days 00:12:14,12.16
Megan Clark,2017-07-18 21:10:34,2017-07-18 21:19:21,Cash,1,1.6,8.5,1.95,0.0,Megan,0 days 00:08:47,10.45
Austin Johnson,2017-10-02 11:04:36,2017-10-02 11:24:37,Card,1,4.67,17.0,0.0,0.0,Austin,0 days 00:20:01,17.0
Dr. Sara Holden,2017-08-05 22:15:16,2017-08-05 22:18:51,Card,1,0.62,4.5,0.0,0.0,Dr.,0 days 00:03:35,4.5
Amy Craig,2017-03-05 10:04:22,2017-03-05 10:19:40,Card,1,3.6,14.0,2.95,0.0,Amy,0 days 00:15:18,16.95
Alicia Williams,2017-10-19 19:01:46,2017-10-19 19:45:28,Cash,1,10.8,38.5,9.2,5.76,Alicia,0 days 00:43:42,53.46
Cheryl Vaughn,2017-09-01 02:37:42,2017-09-01 03:23:17,Card,1,9.21,35.0,0.0,0.0,Cheryl,0 days 00:45:35,35.0
Aaron Richardson,2017-02-15 08:13:33,2017-02-15 08:21:43,Cash,1,1.9,8.5,0.0,0.0,Aaron,0 days 00:08:10,8.5
Danielle Morales,2017-10-05 18:36:57,2017-10-05 19:10:16,Card,1,3.5,21.0,3.42,0.0,Danielle,0 days 00:33:19,24.42
Donald Brown,2017-04-27 21:08:26,2017-04-27 21:26:04,Cash,1,8.3,25.0,0.0,0.0,Donald,0 days 00:17:38,25.0
Garrett Harper,2017-05-20 20:52:00,2017-05-20 21:03:10,Card,1,1.38,8.5,1.96,0.0,Garrett,0 days 00:11:10,10.46
Lisa Norman,2017-10-05 15:13:47,2017-10-05 15:48:02,Cash,3,5.16,24.0,4.96,0.0,Lisa,0 days 00:34:15,28.96
Robert Gutierrez,2017-03-04 17:18:12,2017-03-04 18:24:02,Cash,1,11.3,45.5,10.55,5.54,Robert,0 days 01:05:50,61.589999999999996
Drew Mora,2017-05-31 22:53:50,2017-05-31 23:00:09,Card,1,1.7,7.5,2.2,0.0,Drew,0 days 00:06:19,9.7
Christopher Hernandez,2017-07-03 16:37:42,2017-07-03 16:47:29,Card,1,1.41,8.5,2.06,0.0,Christopher,0 days 00:09:47,10.56
Lindsey Hernandez,2017-08-04 09:15:41,2017-08-04 09:23:45,Card,1,1.19,7.0,1.17,0.0,Lindsey,0 days 00:08:04,8.17
Lance Campbell,2017-03-10 09:17:08,2017-03-10 09:20:47,Card,1,0.6,4.5,1.0,0.0,Lance,0 days 00:03:39,5.5
Nichole Turner,2017-06-21 19:39:44,2017-06-21 19:56:44,Card,1,2.7,13.5,3.06,0.0,Nichole,0 days 00:17:00,16.56
Anthony Martin,2017-12-19 02:16:00,2017-12-19 02:34:56,Cash,1,10.18,29.5,0.0,0.0,Anthony,0 days 00:18:56,29.5
Erica Schmitt,2017-06-22 16:31:25,2017-06-22 17:09:03,Card,2,5.3,25.5,0.0,0.0,Erica,0 days 00:37:38,25.5
Amy Johnson,2017-11-01 20:56:02,2017-11-01 21:01:50,Cash,4,0.5,5.5,0.0,0.0,Amy,0 days 00:05:48,5.5
Joseph Williams,2017-02-15 21:55:11,2017-02-15 22:06:20,Card,1,1.77,9.0,0.0,0.0,Joseph,0 days 00:11:09,9.0
Taylor Dunlap,2017-12-15 08:40:13,2017-12-15 08:46:45,Cash,1,0.9,6.0,1.7,0.0,Taylor,0 days 00:06:32,7.7
Melissa Griffin,2017-07-26 14:39:54,2017-07-26 15:14:41,Cash,1,2.5,21.0,0.0,0.0,Melissa,0 days 00:34:47,21.0
Jessica Harrell,2017-08-28 00:48:29,2017-08-28 00:55:20,Cash,3,1.03,6.5,0.0,0.0,Jessica,0 days 00:06:51,6.5
Brittany Martinez,2017-02-01 17:43:26,2017-02-01 18:34:39,Card,1,18.9,52.0,0.0,0.0,Brittany,0 days 00:51:13,52.0
Andrew Morgan,2017-02-27 07:51:46,2017-02-27 08:16:01,Cash,1,5.01,19.5,4.06,0.0,Andrew,0 days 00:24:15,23.56
Sherry Wilkinson,2017-07-25 22:57:26,2017-07-25 22:59:11,Cash,1,0.56,4.0,1.06,0.0,Sherry,0 days 00:01:45,5.0600000000000005
Richard Smith,2017-08-07 07:21:00,2017-08-07 07:32:09,Card,1,2.11,10.0,1.5,0.0,Richard,0 days 00:11:09,11.5
Roy Vincent,2017-05-12 08:44:29,2017-05-12 08:56:02,Card,6,0.94,8.5,2.79,0.0,Roy,0 days 00:11:33,11.29
Christina Jimenez,2017-09-07 15:03:03,2017-09-07 15:14:14,Cash,1,0.9,8.0,2.6,0.0,Christina,0 days 00:11:11,10.6
Jeffrey Hunt,2017-07-31 23:04:26,2017-07-31 23:19:57,Cash,1,4.3,16.0,3.45,0.0,Jeffrey,0 days 00:15:31,19.45
Jasmine Wright,2017-07-30 10:46:01,2017-07-30 11:15:31,Card,3,11.35,35.5,0.0,0.0,Jasmine,0 days 00:29:30,35.5
Natalie Brooks,2017-11-10 18:28:34,2017-11-10 18:33:34,Cash,1,0.4,5.0,1.35,0.0,Natalie,0 days 00:05:00,6.35
Alexander Lopez,2017-03-13 10:28:41,2017-03-13 10:40:50,Card,5,1.3,8.5,1.0,0.0,Alexander,0 days 00:12:09,9.5
Anne Lee,2017-03-08 23:20:46,2017-03-08 23:28:07,Cash,1,1.66,7.5,1.76,0.0,Anne,0 days 00:07:21,9.26
Susan Thomas,2017-03-20 12:43:00,2017-03-20 13:04:31,Card,1,4.4,18.5,5.75,0.0,Susan,0 days 00:21:31,24.25
Anthony Jones,2017-05-30 20:45:48,2017-05-30 20:50:08,Cash,6,0.92,5.0,1.26,0.0,Anthony,0 days 00:04:20,6.26
Jesus Smith,2017-02-17 20:58:22,2017-02-17 21:12:36,Card,1,2.5,12.0,0.0,0.0,Jesus,0 days 00:14:14,12.0
Mallory Williams,2017-11-05 11:03:53,2017-11-05 11:06:28,Cash,1,0.5,4.0,0.0,0.0,Mallory,0 days 00:02:35,4.0
Christopher Velazquez,2017-08-10 19:31:16,2017-08-10 19:47:24,Cash,3,2.41,12.0,2.76,0.0,Christopher,0 days 00:16:08,14.76
Melody Walker,2017-04-14 08:50:23,2017-04-14 08:57:06,Cash,1,1.0,6.5,0.0,0.0,Melody,0 days 00:06:43,6.5
Elizabeth Townsend,2017-06-17 08:00:54,2017-06-17 08:10:29,Cash,4,2.5,10.0,2.7,0.0,Elizabeth,0 days 00:09:35,12.7
William Nguyen,2017-04-30 14:14:45,2017-04-30 14:59:25,Card,2,17.6,50.5,10.25,0.0,William,0 days 00:44:40,60.75
Joseph Hall,2017-09-09 03:58:03,2017-09-09 04:06:02,Card,1,0.9,7.0,0.0,0.0,Joseph,0 days 00:07:59,7.0
Jeffrey Washington Jr.,2017-01-14 17:30:28,2017-01-14 17:36:40,Card,2,1.42,6.5,1.46,0.0,Jeffrey,0 days 00:06:12,7.96
Bradley Brady,2017-07-11 14:13:37,2017-07-11 14:23:26,Cash,1,5.2,15.5,2.0,0.0,Bradley,0 days 00:09:49,17.5
Jo Vang,2017-11-18 14:05:10,2017-11-18 14:27:10,Cash,1,1.7,14.0,2.96,0.0,Jo,0 days 00:22:00,16.96
Tiffany Cardenas,2017-01-08 22:41:23,2017-01-08 22:44:59,Cash,1,1.1,5.5,1.7,0.0,Tiffany,0 days 00:03:36,7.2
Kelly Anderson,2017-07-02 19:03:51,2017-07-02 19:14:55,Cash,6,2.48,10.5,1.0,0.0,Kelly,0 days 00:11:04,11.5
Kelli Miller,2017-03-02 08:23:38,2017-03-02 08:43:42,Cash,1,3.84,16.5,3.46,0.0,Kelli,0 days 00:20:04,19.96
Brent Arnold,2017-03-11 07:42:38,2017-03-11 07:48:10,Cash,1,1.61,7.0,0.0,0.0,Brent,0 days 00:05:32,7.0
Mike Murray,2017-03-09 15:13:36,2017-03-09 15:27:31,Cash,6,1.97,10.5,2.26,0.0,Mike,0 days 00:13:55,12.76
Theresa Olson,2017-04-26 09:42:24,2017-04-26 09:53:38,Cash,1,1.0,8.0,1.75,0.0,Theresa,0 days 00:11:14,9.75
Jon Foster,2017-03-26 18:01:32,2017-03-26 18:22:45,Cash,1,5.1,19.5,4.05,0.0,Jon,0 days 00:21:13,23.55
Jeffery Guerrero,2017-10-07 08:19:30,2017-10-07 08:32:22,Card,1,2.45,11.5,2.0,0.0,Jeffery,0 days 00:12:52,13.5
Cheryl Martinez,2017-03-03 01:42:15,2017-03-03 01:47:33,Cash,2,0.6,5.5,0.0,0.0,Cheryl,0 days 00:05:18,5.5
Sarah Brewer,2017-03-19 19:00:28,2017-03-19 19:06:21,Card,2,0.92,6.0,1.36,0.0,Sarah,0 days 00:05:53,7.36
Stacey Fritz,2017-01-10 18:55:10,2017-01-10 19:08:35,Card,1,2.35,11.0,2.0,0.0,Stacey,0 days 00:13:25,13.0
Rachel Miller,2017-04-10 17:43:00,2017-04-10 17:46:25,Card,1,0.57,4.5,1.89,0.0,Rachel,0 days 00:03:25,6.39
Mr. Jose Thomas,2017-02-22 12:12:35,2017-02-22 12:25:42,Card,1,1.4,10.0,2.7,0.0,Mr.,0 days 00:13:07,12.7
